Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 1,Parramatta Goannas,WIN,Zach Zafosnik,5,5,10,4,-,-,-,3,93%,-,-,-
Round 1,Parramatta Goannas,WIN,Mitchell Sapiatzer,10,4,14,2,-,-,-,4,90%,-,-,-
Round 1,Parramatta Goannas,WIN,Zach Taiba,8,3,11,2,-,-,-,4,83%,-,-,-
Round 1,Parramatta Goannas,WIN,Ryan Sheers,1,1,2,1,-,-,28,2,87%,-,-,-
Round 1,Parramatta Goannas,WIN,Lachlan Watt,5,2,7,3,-,-,-,4,90%,-,-,-
Round 1,Parramatta Goannas,WIN,Tim Gerogiou,6,1,7,3,-,-,19,3,87%,-,-,-
Round 1,Parramatta Goannas,WIN,Lachlan McNamara,14,5,19,4,-,-,-,4,89%,-,-,-
Round 1,Parramatta Goannas,WIN,Riley Martin,4,4,8,7,-,-,-,4,78%,-,-,-
Round 1,Parramatta Goannas,WIN,Nathan Price,9,2,11,3,-,-,-,4,88%,-,-,-
Round 1,Parramatta Goannas,WIN,Adam Storey,6,2,8,4,-,-,-,4,78%,-,-,-
Round 1,Parramatta Goannas,WIN,Riley Fream,8,6,14,8,-,-,-,4,86%,-,-,-
Round 1,Parramatta Goannas,WIN,Brock Beveridge,6,6,12,4,-,-,-,4,85%,-,-,-
Round 1,Parramatta Goannas,WIN,Corey Hardy,6,3,9,2,-,-,-,4,60%,-,-,-
Round 1,Parramatta Goannas,WIN,Patrick Sapiatzer,3,2,5,2,-,-,-,2,87%,-,-,-
Round 1,Parramatta Goannas,WIN,Chad Porter,0,3,3,4,-,-,-,4,81%,-,-,-
Round 1,Parramatta Goannas,WIN,Stephen Rooke,1,2,3,2,-,-,-,2,66%,-,-,-
Round 1,Parramatta Goannas,WIN,Keegan Passlow,6,5,11,2,-,-,-,4,85%,-,-,-
Round 1,Parramatta Goannas,WIN,Bailey Sims,14,5,19,3,-,-,-,2,97%,-,-,-
Round 1,Parramatta Goannas,WIN,Luke Major,6,1,7,3,-,-,-,4,72%,-,-,-
Round 1,Parramatta Goannas,WIN,Jack McCulloch,9,3,12,5,-,-,-,4,67%,-,-,-
Round 1,Parramatta Goannas,WIN,Billy Redman,2,3,5,4,-,-,-,3,79%,-,-,-
Round 1,Parramatta Goannas,WIN,William Foote,2,6,8,0,-,-,-,3,72%,-,-,-
