Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Inside 50,16,18,8,8,50
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Inside 50 (Drop Zone),4,11,5,6,26
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Inside 50 (Rebound Zone),10,6,3,2,21
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Defensive 50 Mark,1,1,4,0,6
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Inside 50 Mark - Uncontested,2,4,2,1,9
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Defensive 50 Mark,5,1,0,0,6
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Inside 50 Mark - Contested,0,1,1,2,4
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Centre Stoppage Neutral,0,1,1,2,4
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Defensive 50 Stoppage Neutral,0,0,3,0,3
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Between Arcs Stoppage Loss,1,2,1,1,5
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Between Arcs Stoppage Neutral,2,5,1,1,9
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Between Arcs Stoppage Win,4,4,2,2,12
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Centre Stoppage Loss,2,1,2,0,5
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Centre Stoppage Win,1,4,2,3,10
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Defensive 50 Stoppage Win,2,0,2,0,4
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Forward 50 Stoppage Loss,3,2,1,1,7
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Forward 50 Stoppage Neutral,4,0,0,0,4
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Forward 50 Stoppage Win,1,4,0,1,6
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Behind - Field Play,0,0,1,0,1
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Goal - Set Shot,0,0,2,0,2
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Behind - Field Play,4,5,1,1,11
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Behind - Set Shot,3,1,1,0,5
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Goal - Field Play,1,2,2,2,7
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Goal - Set Shot,1,3,2,2,8
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Behind - Set Shot,1,0,0,1,2
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Kick out - Slow,1,0,1,1,3
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Fast Defensive Exit,2,1,1,2,6
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Forward 50 Entry (Fast),5,1,8,2,16
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Forward 50 Entry (Slow),1,0,3,1,5
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Kick out - Slow,7,5,0,0,12
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Slow Defensive Exit,7,4,2,2,15
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Slow Defensive Exit,3,0,2,0,5
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Fast Rebound 50,0,2,3,2,7
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Oppo Kick out - Fast,0,1,2,1,4
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Armadillo,3,5,2,0,10
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Chase Down Tackle,1,2,1,1,5
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Drive Forward,1,1,0,1,3
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Fast Through The Middle,3,0,3,0,6
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Forward HB,14,3,11,7,35
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Inside 45 kick,10,3,4,2,19
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Repeat Stoppage,1,5,1,1,8
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Switch and Release,2,2,3,1,8
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Switch and Slow,2,0,1,0,3
Round 5,UNSW,WIN,16,107,18,54,67,91,18,36,13,24,Handball Recieve,0,2,2,1,5
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
