Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Inside 50,9,6,7,8,30
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Inside 50 (Drop Zone),4,3,3,3,13
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Inside 50 (Rebound Zone),4,2,4,4,14
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Direct Turnover - Between Arcs,6,5,2,1,14
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Direct Turnover - F50,5,0,1,0,6
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Defensive 50 Mark,2,3,0,2,7
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Inside 50 Mark - Uncontested,1,0,3,0,4
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Defensive 50 Mark,2,1,0,0,3
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Forward 50 Mark,4,2,3,3,12
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Between Arcs Stoppage Loss,6,4,4,5,19
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Between Arcs Stoppage Neutral,1,5,2,3,11
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Between Arcs Stoppage Win,2,6,5,2,15
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Centre Stoppage Loss,3,1,3,2,9
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Centre Stoppage Neutral,1,1,2,1,5
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Forward 50 Stoppage Loss,1,0,0,1,2
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Forward 50 Stoppage Neutral,2,0,0,2,4
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Forward 50 Stoppage Win,1,0,0,1,2
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Behind - Field Play,2,0,0,1,3
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Goal - Set Shot,1,1,3,0,5
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Behind - Field Play,1,1,0,0,2
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Behind - Set Shot,2,2,3,2,9
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Goal - Set Shot,2,0,1,1,4
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Fast Rebound 50,3,5,4,2,14
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Kick out - Fast,2,0,1,0,3
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Kick out - Slow,1,3,2,2,8
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Fast Defensive Exit,1,2,3,1,7
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Forward 50 Entry (Fast),5,9,9,6,29
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Forward 50 Entry (Slow),5,4,2,4,15
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Kick out - Slow,2,0,0,1,3
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Slow Defensive Exit,3,1,1,1,6
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Slow Defensive Exit,1,2,2,3,8
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Chase Down Tackle,5,0,1,2,8
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Forward HB,4,2,7,6,19
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Handball Recieve,4,5,3,4,16
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Inside 45 kick,5,5,2,2,14
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Centre Stoppage Win,0,2,1,2,5
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Defensive 50 Stoppage Loss,0,1,3,2,6
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Defensive 50 Stoppage Win,0,1,2,3,6
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Goal - Field Play,0,1,0,3,4
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Goal - Field Play,0,1,1,0,2
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Switch and Release,0,3,0,0,3
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Behind - Set Shot,0,0,0,2,2
Round 10,Sydney University,WIN,47,59,-7,-4,-1,12,-7,3,3,13,Oppo Kick out - Fast,0,0,0,2,2
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
