Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 6,Pennant Hills,WIN,Zach Zafosnik,4,8,12,4,100%,4,-,3,85.00%,-,-,-
Round 6,Pennant Hills,WIN,Mitchell Sapiatzer,8,8,16,0,100%,0,0,3,93.00%,-,-,-
Round 6,Pennant Hills,WIN,Zach Taiba,4,6,10,0,100%,1,-,4,64.00%,-,-,-
Round 6,Pennant Hills,WIN,Sam Neil,2,8,10,2,90%,0,6,2,66.00%,-,-,-
Round 6,Pennant Hills,WIN,Lachlan Watt,6,8,14,4,100%,1,-,2,92.00%,-,-,-
Round 6,Pennant Hills,WIN,Connor Passlow,5,2,7,2,85%,1,4,1,92.00%,-,-,-
Round 6,Pennant Hills,WIN,Lachlan McNamara,13,16,29,4,82%,5,-,4,87.00%,-,-,-
Round 6,Pennant Hills,WIN,Tom Beveridge,9,5,14,6,85%,1,-,3,88.00%,-,-,-
Round 6,Pennant Hills,WIN,Nathan Price,8,5,13,1,86%,4,-,4,84.00%,-,-,-
Round 6,Pennant Hills,WIN,Adam Storey,10,9,19,2,73%,3,-,3,90.00%,-,-,-
Round 6,Pennant Hills,WIN,Riley Fream,11,7,18,19,83%,0,2,4,88.00%,-,-,-
Round 6,Pennant Hills,WIN,Jacob Zalac,2,8,10,8,100%,1,-,3,74.00%,-,-,-
Round 6,Pennant Hills,WIN,Blake Ciscato,13,12,25,2,88%,4,-,5,88.00%,-,-,-
Round 6,Pennant Hills,WIN,Corey Hardy,9,3,12,2,75%,4,-,3,91.00%,-,-,-
Round 6,Pennant Hills,WIN,Patrick Sapiatzer,4,7,11,6,63%,0,1,2,87.00%,-,-,-
Round 6,Pennant Hills,WIN,Keegan Passlow,13,2,15,2,86%,3,8,2,87.00%,-,-,-
Round 6,Pennant Hills,WIN,Bailey Sims,1,2,3,2,100%,0,4,2,24.00%,-,-,-
Round 6,Pennant Hills,WIN,Brock Beveridge,6,10,16,2,81%,0,-,2,71.00%,-,-,-
Round 6,Pennant Hills,WIN,Luke Major,4,8,12,1,92%,3,-,3,91.00%,-,-,-
Round 6,Pennant Hills,WIN,William Gamble,7,6,13,0,93%,6,-,2,79.00%,-,-,-
Round 6,Pennant Hills,WIN,Jack McCulloch,5,5,10,4,90%,2,-,3,89.00%,-,-,-
Round 6,Pennant Hills,WIN,Cruz Martin,4,6,10,1,100%,1,-,3,89.00%,-,-,-
