Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Inside 50,5,9,6,10,30
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Inside 50 (Drop Zone),4,6,4,3,17
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Inside 50 (Rebound Zone),1,3,2,7,13
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Direct Turnover - Between Arcs,9,6,5,6,26
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Direct Turnover - D50,0,2,0,3,5
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Direct Turnover - F50,3,2,1,0,6
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Defensive 50 Mark,1,2,2,0,5
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Inside 50 Mark - Contested,0,0,0,1,1
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Inside 50 Mark - Uncontested,0,0,1,0,1
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Oppo Defensive 50 Mark,1,0,1,2,4
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Oppo Forward 50 Mark,3,4,2,4,13
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Between Arcs Stoppage Loss,5,0,4,1,10
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Between Arcs Stoppage Neutral,5,0,3,7,15
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Between Arcs Stoppage Win,3,2,4,7,16
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Centre Stoppage Loss,1,3,4,1,9
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Centre Stoppage Neutral,1,1,1,1,4
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Centre Stoppage Win,1,1,3,3,8
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Defensive 50 Stoppage Loss,2,0,0,0,2
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Defensive 50 Stoppage Neutral,1,1,0,0,2
Round 8,Parramatta Goannas,LOSS,75,38,-17,-28,-46,-37,-17,-11,-18,9,Defensive 50 Stoppage Win,0,2,1,0,3
