Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 5,UNSW,WIN,Zach Zafosnik,11,7,18,4,83%,4,-,-,-,-,-,-
Round 5,UNSW,WIN,Mitchell Sapiatzer,5,9,14,2,78%,2,-,-,-,-,-,-
Round 5,UNSW,WIN,Zach Taiba,7,2,9,2,88%,1,-,-,-,-,-,-
Round 5,UNSW,WIN,Ryan Sheers,0,2,2,0,100%,1,6,-,-,-,-,-
Round 5,UNSW,WIN,Lachlan Watt,8,3,11,8,72%,1,-,-,-,-,-,-
Round 5,UNSW,WIN,Tim Gerogiou,7,6,13,0,92%,1,26,-,-,-,-,-
Round 5,UNSW,WIN,Lachlan McNamara,13,10,23,1,100%,4,-,-,-,-,-,-
Round 5,UNSW,WIN,Riley Martin,3,8,11,4,90%,0,-,-,-,-,-,-
Round 5,UNSW,WIN,Nathan Price,9,6,15,3,81%,3,-,-,-,-,-,-
Round 5,UNSW,WIN,Adam Storey,5,9,14,0,85%,2,-,-,-,-,-,-
Round 5,UNSW,WIN,Riley Fream,11,11,22,12,81%,2,4,-,-,-,-,-
Round 5,UNSW,WIN,Jacob Zalac,7,2,9,3,88%,2,-,-,-,-,-,-
Round 5,UNSW,WIN,Blake Ciscato,11,5,16,5,87%,6,-,-,-,-,-,-
Round 5,UNSW,WIN,Corey Hardy,16,3,19,0,94%,7,-,-,-,-,-,-
Round 5,UNSW,WIN,Patrick Sapiatzer,8,6,14,3,92%,5,-,-,-,-,-,-
Round 5,UNSW,WIN,Keegan Passlow,8,2,10,0,80%,2,-,-,-,-,-,-
Round 5,UNSW,WIN,Bailey Sims,13,8,21,2,100%,6,9,-,-,-,-,-
Round 5,UNSW,WIN,Shane Doherty,15,2,17,3,100%,5,-,-,-,-,-,-
Round 5,UNSW,WIN,James Broadbent,3,1,4,2,100%,0,-,-,-,-,-,-
Round 5,UNSW,WIN,Luke Major,4,4,8,3,87%,2,-,-,-,-,-,-
Round 5,UNSW,WIN,Jack McCulloch,11,8,19,2,84%,4,-,-,-,-,-,-
Round 5,UNSW,WIN,Cruz Martin,4,7,11,0,90%,2,-,-,-,-,-,-
