Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Inside 50,16,13,17,15,61
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Inside 50 (Drop Zone),7,9,11,10,37
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Inside 50 (Rebound Zone),9,4,6,5,24
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Direct Turnover - Between Arcs,2,1,1,0,4
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Direct Turnover - F50,3,0,1,0,4
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Defensive 50 Mark,1,0,0,1,2
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Inside 50 Mark - Contested,1,0,0,1,2
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Inside 50 Mark - Uncontested,4,1,8,8,21
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Oppo Defensive 50 Mark,3,0,2,0,5
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Oppo Forward 50 Mark,0,2,0,0,2
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Between Arcs Stoppage Loss,4,2,3,1,10
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Between Arcs Stoppage Neutral,8,7,3,4,22
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Between Arcs Stoppage Win,6,7,4,4,21
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Centre Stoppage Loss,1,1,0,3,5
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Centre Stoppage Neutral,3,4,3,3,13
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Centre Stoppage Win,2,0,4,6,12
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Forward 50 Stoppage Loss,1,1,0,1,3
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Forward 50 Stoppage Neutral,0,5,0,1,6
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Forward 50 Stoppage Win,0,3,0,0,3
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Behind - Field Play,2,7,4,1,14
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Behind - Set Shot,0,1,1,1,3
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Goal - Field Play,2,4,0,8,14
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Goal - Set Shot,4,0,6,4,14
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Fast Rebound 50,0,4,1,1,6
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Oppo Fast Defensive Exit,2,0,2,0,4
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Oppo Forward 50 Entry (Fast),1,4,0,1,6
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Oppo Kick out - Fast,0,2,2,2,6
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Oppo Kick out - Slow,2,6,3,0,11
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Oppo Slow Defensive Exit,6,0,4,1,11
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Slow Defensive Exit,0,1,0,0,1
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Oppo Forward 50 Entry (Slow),0,0,1,0,1
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Chase Down Tackle,1,1,2,1,5
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Forward HB,16,9,15,6,46
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Handball Recieve,8,6,1,4,19
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Inside 45 kick,8,3,2,4,17
Round 15,Pennant Hills,WIN,0,185,38,70,111,185,38,32,41,74,Switch and Release,3,0,2,3,8
,,,,,,,,,,,,,,,,,,
